algorithm,filename,time_milliseconds
bubble,".\numeros_invertidos_1250000.txt",1084873
insertion,".\numeros_invertidos_1250000.txt",713476
selection,".\numeros_invertidos_1250000.txt",648855
shell,".\numeros_invertidos_1250000.txt",52
heap,".\numeros_invertidos_1250000.txt",113
radix,".\numeros_invertidos_1250000.txt",184
quick,".\numeros_invertidos_1250000.txt",73
merge,".\numeros_invertidos_1250000.txt",236
bubble,".\numeros_invertidos_1350000.txt",1266255
insertion,".\numeros_invertidos_1350000.txt",785191
selection,".\numeros_invertidos_1350000.txt",764995
shell,".\numeros_invertidos_1350000.txt",64
heap,".\numeros_invertidos_1350000.txt",128
radix,".\numeros_invertidos_1350000.txt",203
quick,".\numeros_invertidos_1350000.txt",83
merge,".\numeros_invertidos_1350000.txt",253
bubble,".\numeros_invertidos_750000.txt",372700
insertion,".\numeros_invertidos_750000.txt",218781
selection,".\numeros_invertidos_750000.txt",216295
shell,".\numeros_invertidos_750000.txt",40
heap,".\numeros_invertidos_750000.txt",71
radix,".\numeros_invertidos_750000.txt",99
quick,".\numeros_invertidos_750000.txt",48
merge,".\numeros_invertidos_750000.txt",132
bubble,".\numeros_invertidos_850000.txt",483917
insertion,".\numeros_invertidos_850000.txt",288180
selection,".\numeros_invertidos_850000.txt",281378
shell,".\numeros_invertidos_850000.txt",32
heap,".\numeros_invertidos_850000.txt",79
radix,".\numeros_invertidos_850000.txt",111
quick,".\numeros_invertidos_850000.txt",50
merge,".\numeros_invertidos_850000.txt",154
bubble,".\numeros_invertidos_950000.txt",607129
insertion,".\numeros_invertidos_950000.txt",362907
selection,".\numeros_invertidos_950000.txt",357546
shell,".\numeros_invertidos_950000.txt",50
heap,".\numeros_invertidos_950000.txt",90
radix,".\numeros_invertidos_950000.txt",130
quick,".\numeros_invertidos_950000.txt",61
merge,".\numeros_invertidos_950000.txt",180
bubble,".\numeros_ordenados_1250000.txt",0
insertion,".\numeros_ordenados_1250000.txt",0
selection,".\numeros_ordenados_1250000.txt",644400
shell,".\numeros_ordenados_1250000.txt",42
heap,".\numeros_ordenados_1250000.txt",111
radix,".\numeros_ordenados_1250000.txt",184
quick,".\numeros_ordenados_1250000.txt",71
merge,".\numeros_ordenados_1250000.txt",223
bubble,".\numeros_ordenados_1350000.txt",0
insertion,".\numeros_ordenados_1350000.txt",0
selection,".\numeros_ordenados_1350000.txt",755976
shell,".\numeros_ordenados_1350000.txt",50
heap,".\numeros_ordenados_1350000.txt",121
radix,".\numeros_ordenados_1350000.txt",203
quick,".\numeros_ordenados_1350000.txt",72
merge,".\numeros_ordenados_1350000.txt",246
bubble,".\numeros_ordenados_750000.txt",0
insertion,".\numeros_ordenados_750000.txt",0
selection,".\numeros_ordenados_750000.txt",214557
shell,".\numeros_ordenados_750000.txt",22
heap,".\numeros_ordenados_750000.txt",69
radix,".\numeros_ordenados_750000.txt",90
quick,".\numeros_ordenados_750000.txt",40
merge,".\numeros_ordenados_750000.txt",132
bubble,".\numeros_ordenados_850000.txt",0
insertion,".\numeros_ordenados_850000.txt",8
selection,".\numeros_ordenados_850000.txt",280539
shell,".\numeros_ordenados_850000.txt",30
heap,".\numeros_ordenados_850000.txt",71
radix,".\numeros_ordenados_850000.txt",111
quick,".\numeros_ordenados_850000.txt",50
merge,".\numeros_ordenados_850000.txt",152
bubble,".\numeros_ordenados_950000.txt",0
insertion,".\numeros_ordenados_950000.txt",0
selection,".\numeros_ordenados_950000.txt",357921
shell,".\numeros_ordenados_950000.txt",30
heap,".\numeros_ordenados_950000.txt",83
radix,".\numeros_ordenados_950000.txt",122
quick,".\numeros_ordenados_950000.txt",61
merge,".\numeros_ordenados_950000.txt",172
bubble,".\numeros_randomicos_1250000.txt",2181504
insertion,".\numeros_randomicos_1250000.txt",317309
selection,".\numeros_randomicos_1250000.txt",642830
shell,".\numeros_randomicos_1250000.txt",228
heap,".\numeros_randomicos_1250000.txt",228
radix,".\numeros_randomicos_1250000.txt",186
quick,".\numeros_randomicos_1250000.txt",130
merge,".\numeros_randomicos_1250000.txt",320
bubble,".\numeros_randomicos_1350000.txt",2545733
insertion,".\numeros_randomicos_1350000.txt",373832
selection,".\numeros_randomicos_1350000.txt",755743
shell,".\numeros_randomicos_1350000.txt",255
heap,".\numeros_randomicos_1350000.txt",254
radix,".\numeros_randomicos_1350000.txt",202
quick,".\numeros_randomicos_1350000.txt",141
merge,".\numeros_randomicos_1350000.txt",348
bubble,".\numeros_randomicos_750000.txt",772452
insertion,".\numeros_randomicos_750000.txt",107056
selection,".\numeros_randomicos_750000.txt",216323
shell,".\numeros_randomicos_750000.txt",130
heap,".\numeros_randomicos_750000.txt",127
radix,".\numeros_randomicos_750000.txt",97
quick,".\numeros_randomicos_750000.txt",78
merge,".\numeros_randomicos_750000.txt",191
bubble,".\numeros_randomicos_850000.txt",997231
insertion,".\numeros_randomicos_850000.txt",139201
selection,".\numeros_randomicos_850000.txt",282058
shell,".\numeros_randomicos_850000.txt",152
heap,".\numeros_randomicos_850000.txt",144
radix,".\numeros_randomicos_850000.txt",108
quick,".\numeros_randomicos_850000.txt",83
merge,".\numeros_randomicos_850000.txt",212
bubble,".\numeros_randomicos_950000.txt",1248899
insertion,".\numeros_randomicos_950000.txt",175981
selection,".\numeros_randomicos_950000.txt",357819
shell,".\numeros_randomicos_950000.txt",172
heap,".\numeros_randomicos_950000.txt",174
radix,".\numeros_randomicos_950000.txt",131
quick,".\numeros_randomicos_950000.txt",101
merge,".\numeros_randomicos_950000.txt",253
